content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,content_hash_id,gsc_clicks,gsc_impressions,gsc_avg_position,gsc_ctr,is_declining,staleness_bucket,action_score,reason_code,action_label
content_55a5b1c46474,client_4ec9599fc2,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-5-mini,35,0,1,1,1,0,0,0,21,1,3,0,0,26,0,1,374,365+,6,373,181+,,,0.0,7.5,0.0,0.0,0.0,low,page_1,down,-88.5,content_55a5b1c46474,0,35,7.5,0.0,1,>180d (Stale),0.8622521000306915,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_6476d1d8c050,client_19581e27de,10.0,0.54,MEDIUM,0.85,keyword article,transactional,,,,,304,0,3,3,3,0,0,0,73,2,124,0,1,94,0,2,313,181-365,5,313,181+,,,0.0,67.8,0.0,0.0,0.0,moderate,deep,up,31.9,content_6476d1d8c050,0,304,67.8,0.0,0,>180d (Stale),0.8423856922040085,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_02b0d6e30129,client_19581e27de,110.0,0.4,MEDIUM,0.59,keyword article,transactional,,,,,176,0,6,6,6,0,0,0,31,6,7,0,2,159,0,3,313,181-365,5,313,181+,,,0.0,6.9,0.0,0.0,0.0,low,page_1,down,-95.6,content_02b0d6e30129,0,176,6.9,0.0,1,>180d (Stale),0.8329326292846093,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_72496874f806,client_4ec9599fc2,,,,,keyword article,,1504.0,10770.0,,gpt-5-mini,821,2,9,6,6,0,0,0,71,6,97,0,2,125,0,0,301,181-365,5,301,181+,1000-2000,8000-15000,0.24,5.8,0.0,0.0,0.0,moderate,page_1,down,-22.4,content_72496874f806,2,821,5.8,0.0024,1,>180d (Stale),0.8272578864002323,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_d25a099b3726,client_19581e27de,10.0,0.45,MEDIUM,0.03,keyword article,transactional,,,,,202,0,4,4,4,0,0,0,32,3,136,0,3,53,0,1,313,181-365,5,305,181+,,,0.0,64.5,0.0,0.0,0.0,low,deep,up,156.6,content_d25a099b3726,0,202,64.5,0.0,0,>180d (Stale),0.8265464168589944,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_e2b702f4f92b,client_4ec9599fc2,,,,,keyword article,,1246.0,8740.0,,gpt-5-mini,30,0,4,4,4,0,0,2,19,3,6,0,0,22,0,1,334,181-365,5,334,181+,1000-2000,8000-15000,0.0,9.3,0.0,50.0,0.0,low,page_1,down,-72.7,content_e2b702f4f92b,0,30,9.3,0.0,1,>180d (Stale),0.8256818650136449,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_7a888d3d99c8,client_19581e27de,90.0,0.46,MEDIUM,0.72,keyword article,transactional,,,,,95,0,1,1,1,0,0,0,27,1,0,0,0,10,0,1,313,181-365,5,313,181+,,,0.0,67.6,0.0,0.0,0.0,low,deep,down,-100.0,content_7a888d3d99c8,0,95,67.6,0.0,1,>180d (Stale),0.8223045479517197,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_f488400fca67,client_9400f1b21c,,,,,keyword article,,1113.0,8048.0,,gpt-5-mini,155,0,1,1,1,0,0,0,44,1,14,0,0,25,0,1,306,181-365,5,305,181+,1000-2000,8000-15000,0.0,5.7,0.0,0.0,0.0,low,page_1,down,-44.0,content_f488400fca67,0,155,5.7,0.0,1,>180d (Stale),0.8219715592766443,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_1b4ec72dafd4,client_4ec9599fc2,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-5-mini,2,0,2,2,2,0,0,1,1,2,0,0,0,2,0,1,372,365+,6,372,181+,,,0.0,7.0,0.0,50.0,0.0,low,page_1,down,-100.0,content_1b4ec72dafd4,0,2,7.0,0.0,1,>180d (Stale),0.8190848501887865,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_f6fdf87348f6,client_4ec9599fc2,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-5-mini,2,0,1,1,1,0,0,0,1,1,0,0,1,2,0,0,373,365+,6,373,181+,,,0.0,32.5,0.0,0.0,0.0,low,page_3_5,down,-100.0,content_f6fdf87348f6,0,2,32.5,0.0,1,>180d (Stale),0.8190848501887865,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_7f116ae1f6f5,client_9400f1b21c,,,,,keyword article,,1335.0,9375.0,,gpt-5-mini,954,4,6,6,5,0,0,0,81,5,188,1,2,339,1,2,301,181-365,5,301,181+,1000-2000,8000-15000,0.42,9.0,0.0,0.0,0.0,moderate,page_1,down,-44.5,content_7f116ae1f6f5,4,954,9.0,0.0042,1,>180d (Stale),0.8154631485619802,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_ab27c30d81f4,client_4ec9599fc2,,,,,keyword article,,1094.0,7718.0,,gpt-5-mini,103,0,10,10,10,0,0,3,32,7,55,0,7,48,0,3,305,181-365,5,304,181+,1000-2000,<8000,0.0,8.9,0.0,30.0,0.0,low,page_1,stable,14.6,content_ab27c30d81f4,0,103,8.9,0.0,0,>180d (Stale),0.8138320185034581,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
content_8d56efff1e71,client_4ec9599fc2,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-5-mini,1,0,2,2,2,0,0,1,1,2,1,0,0,0,0,1,372,365+,6,372,181+,,,0.0,35.0,0.0,50.0,0.0,low,page_3_5,new,,content_8d56efff1e71,0,1,35.0,0.0,0,>180d (Stale),0.8120411998265593,STALE_LOW_CTR,REFRESH_METADATA_AND_COPY
